ano,codigo,sigla,local,populacao_total,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana
2018,1,NO,Norte,17783329,1.0052227759241,75.3313064455197,22.3373906839611,2.08596029458007,42.7597228271406,13.7440856726991,56.5038084998398,32.1425976689808,29.3995003410216,27.1937001618752
2019,1,NO,Norte,17970930,1.05492621769523,75.6262732415057,22.3593467567448,2.04141045998279,41.9019652330841,14.1997045948325,56.1016698279166,33.8879203298583,29.7422767769948,27.6031764277011
2020,1,NO,Norte,18137222,0.925338866714198,73.0405825745482,20.0189462881133,1.95809616377995,41.0184230633432,14.6033033067818,55.621726370125,35.6018155164826,30.0738596572287,28.0038074292753
2021,1,NO,Norte,18272491,0.745808812396964,71.6958149376848,19.512873669362,1.99748228540953,40.1757437493675,14.9523710396361,55.1281147890036,37.2174094222499,30.3799915950157,28.3890413506846
2022,1,NO,Norte,18403491,0.716924692971532,74.9683684278973,21.6581355738024,1.86781194919686,39.3677725771214,15.3723943945245,54.740166971646,39.0481690687732,30.7136186824554,28.8028174707113
2023,1,NO,Norte,18535113,0.715201262630005,75.6741466483248,22.3824075485569,1.83330159361485,38.4996221204751,15.893405404631,54.3930275251061,41.2819776643429,31.0950938901748,29.2654655700462
2024,1,NO,Norte,18669345,0.724203839491033,75.911917930031,22.5004925639185,1.81874282224888,37.6616657019583,16.4496347921067,54.111300494065,43.677395796255,31.4835380673505,29.7334591835748
2025,1,NO,Norte,18801282,0.706703957744637,76.1335194211984,22.6133726850584,1.78413216438278,36.9360231170606,17.0353442560926,53.9713673731532,46.1212193908988,31.8738125942688,30.2051921712451
2026,1,NO,Norte,18929341,0.681118447135676,76.3533925572372,22.7250338192984,1.75204059336561,36.2129445841212,17.6365809527819,53.8495255369031,48.7024216211218,32.2679792709107,30.6831814913261
2027,1,NO,Norte,19053881,0.657920421001457,76.5708525170606,22.835599865927,1.72243363364544,35.4743218211273,18.2484897087203,53.7228115298476,51.441405422026,32.6649801161244,31.1649006963981
2028,1,NO,Norte,19175267,0.637067062610508,76.785584126495,22.9450173599378,1.69520780328979,34.7422283737091,18.8735072343392,53.6157356080483,54.3244003560278,33.0640780125773,31.651201909253
2029,1,NO,Norte,19293882,0.618583303168618,76.9978257106111,23.0533186043422,1.67022016735704,33.9435672842281,19.5040749290994,53.4476422133276,57.4602980464047,33.4643659580794,32.1389569814948
2030,1,NO,Norte,19409992,0.601796984142444,77.2077424297496,23.1604391354085,1.64733335350379,33.103347650098,20.1466874253044,53.2500350754024,60.8599699288864,33.864897213765,32.6296297472576
2031,1,NO,Norte,19521320,0.573560257005767,77.4152194011826,23.2663740529874,1.6263679577825,32.3535610769067,20.8271323672617,53.1806934441684,64.3735393385417,34.2659608571552,33.1217060754343
2032,1,NO,Norte,19625458,0.533457778469892,77.6207445476808,23.37139945485,1.60718452828475,31.6737990881462,21.5493832061786,53.2231822943248,68.035359908068,34.6679843599064,33.6186561999298
2033,1,NO,Norte,19722458,0.494255981185265,77.8240741373435,23.4754362478584,1.58969008687744,30.9438221208645,22.2929001967432,53.2367223176077,72.0431371072025,35.0704991740887,34.1175454827733
2034,1,NO,Norte,19812493,0.4565100354124271,78.0253375854734,23.5785238973295,1.57386101212865,30.2091245310449,23.0662386533642,53.2753631844091,76.3552039704419,35.4727541859573,34.6181138487143
2035,1,NO,Norte,19895607,0.419502987332288,78.2245598186318,23.68057962941,1.55959610016977,29.5693405815949,23.8962692063351,53.46560978793,80.8143459959639,35.8741633768701,35.1188665295917
2036,1,NO,Norte,19971690,0.382411051846776,78.4216632992124,23.7816557282556,1.54678619048012,28.9585298068721,24.7820736228159,53.740603429688,85.5778031139375,36.2743728247334,35.6167111725869
2037,1,NO,Norte,20040651,0.345293763321974,78.6166400474504,23.8816850132117,1.53527414403362,28.4146318481264,25.737759455469,54.1523913035954,90.5792466115168,36.6731890096784,36.113148251043
2038,1,NO,Norte,20102400,0.308118733268703,78.809569766722,23.980586652003,1.52495682072283,27.989241504511,26.7778829538206,54.7671244583316,95.6720565275227,37.0703897544572,36.6064648886873
2039,1,NO,Norte,20157022,0.271718799745302,79.0003228603985,24.0783076841169,1.51580880381221,27.5930801369213,27.8816378750408,55.4747180119621,101.045761244079,37.4655572137591,37.0979537962379
2040,1,NO,Norte,20204507,0.235575473400784,79.1886220395917,24.1747622484615,1.50772451181437,27.2276609361979,29.0399766424261,56.267637578624,106.656156437657,37.8582619709553,37.5864386861935
2041,1,NO,Norte,20245833,0.2045385220238229,79.3742444093719,24.2699353622093,1.50061299151205,26.9024923528056,30.2391683826446,57.1416607354502,112.402850955521,38.2479916237578,38.0724316637492
2042,1,NO,Norte,20281965,0.178466354039375,79.5574485038647,24.3639057803231,1.49444749752233,26.6100407477789,31.4644447142847,58.0744854620635,118.242752848513,38.6343405089201,38.5554960306994
2043,1,NO,Norte,20312875,0.152401406865654,79.7382538360267,24.4566517457241,1.48916278176341,26.3461222381642,32.7132176047425,59.0593398429067,124.167106297545,39.0171703414706,39.0357092068406
2044,1,NO,Norte,20338549,0.126392743518577,79.9166533064299,24.5481954853547,1.48463578910811,26.1066666561716,33.9846170739223,60.0912837300939,130.176010294629,39.3963119001262,39.5134408334907
