ano,codigo,sigla,local,populacao_total,populacao_0_14,populacao_15_64,populacao_60_mais,populacao_65_mais,populacao_80_mais,proporcao_0_14,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,proporcao_80_mais
2060,1,NO,Norte,20033445,2686336,12570899,6174762,4776210,1385076,0.134092563710335,0.627495620448705,0.308222674632346,0.23841181584096,0.0691381836723539
2061,1,NO,Norte,19968940,2651308,12452509,6270326,4865123,1441883,0.132771594285926,0.623593891313209,0.314003948131448,0.243634514400865,0.0722062863627213
2062,1,NO,Norte,19899225,2616644,12329989,6359492,4952592,1497529,0.131494769268652,0.61962156817665,0.31958490845749,0.248883662554697,0.0752556443781102
2063,1,NO,Norte,19824422,2582501,12203368,6442910,5038553,1551729,0.130268665588333,0.615572448972283,0.324998630477095,0.254158885439384,0.0782736061611279
2064,1,NO,Norte,19744655,2548972,12073072,6521515,5122611,1604394,0.129096811263605,0.611460266082137,0.330292679208626,0.259442922654258,0.0812571300941951
2065,1,NO,Norte,19659999,2516050,11940749,6595859,5203200,1654622,0.127978134688613,0.607362645338894,0.335496405671231,0.264659219972493,0.0841618557559438
2066,1,NO,Norte,19570594,2483732,11809358,6667086,5277504,1701361,0.126911426398197,0.603423585405737,0.340668556100035,0.269664988196066,0.086934561107343
2067,1,NO,Norte,19476591,2452012,11678793,6731632,5345786,1744019,0.125895337638912,0.599632297048287,0.345626809126916,0.2744723653128,0.0895443663626761
2068,1,NO,Norte,19378202,2421012,11548422,6791077,5408768,1782166,0.124934810773466,0.595949097857479,0.350449283168789,0.279116091369055,0.0919675623156369
2069,1,NO,Norte,19275671,2390904,11417326,6844361,5467441,1816301,0.12403739408086,0.592317953548803,0.355077703909763,0.283644652370338,0.0942276406357008
2070,1,NO,Norte,19169147,2361757,11284932,6885471,5522458,1847651,0.123206160399312,0.588702877598049,0.359195482198556,0.288090962002639,0.096386709330363
2000,2,ND,Nordeste,48974858,16170921,29832071,4223867,2971866,675989,0.330188216165936,0.6091303215213,0.0862456201506495,0.0606814623127646,0.0138027761101421
2001,2,ND,Nordeste,49533198,16029451,30464461,4318153,3039286,696030,0.323610258316049,0.615031175657182,0.0871769474686452,0.0613585660267685,0.0140517880553563
2002,2,ND,Nordeste,50065252,15879190,31073034,4411871,3113028,714093,0.317169880618997,0.620650706002638,0.0881224167212821,0.0621794133783647,0.014263245893579
2003,2,ND,Nordeste,50575534,15726144,31657608,4508514,3191782,731623,0.310943706496505,0.625947083425753,0.0891441699854321,0.0631092100777423,0.014465947111898
2004,2,ND,Nordeste,51070449,15573510,32222578,4613593,3274361,750193,0.304941709049787,0.630943698967675,0.0903378194305674,0.0641145919825377,0.0146893754546783
2005,2,ND,Nordeste,51553879,15420156,32773747,4731130,3359976,770767,0.29910758024629,0.635718352056496,0.0917705920828964,0.0651740676972144,0.0149507081707664
2006,2,ND,Nordeste,52032456,15267180,33316956,4862753,3448320,793651,0.293416478361121,0.640311039709523,0.0934561497539151,0.0662724819293558,0.01525299901277
2007,2,ND,Nordeste,52482875,15089746,33853605,5006544,3539524,818019,0.287517518809707,0.645040977652234,0.0953938594255745,0.0674415035380588,0.0155863984204371
2008,2,ND,Nordeste,52917626,14903325,34380149,5159311,3634152,842410,0.281632532041403,0.649691824799548,0.0974970230146001,0.0686756431590487,0.0159192704525331
2009,2,ND,Nordeste,53339516,14711774,34892606,5318918,3735136,866052,0.275813788786535,0.654160528940683,0.0997181526731514,0.0700256822727825,0.0162365927729828
2010,2,ND,Nordeste,53692489,14497378,35352507,5481802,3842604,887157,0.270007561020313,0.658425557436907,0.102096254096173,0.0715668815427797,0.0165229255808946
2011,2,ND,Nordeste,53988268,14272900,35757633,5648113,3957735,906039,0.264370399880211,0.662322284537818,0.104617414287119,0.0733073155819705,0.0167821460766254
2012,2,ND,Nordeste,54290315,14048226,36160276,5820794,4081813,924995,0.258761180516267,0.666053899300455,0.10721606606998,0.0751849201832776,0.0170379376137346
2013,2,ND,Nordeste,54593052,13813190,36566208,6000720,4213654,945610,0.25302102545943,0.669796002612201,0.109917283979654,0.0771829719283692,0.017321068622432
2014,2,ND,Nordeste,54895712,13582685,36962542,6187754,4350485,969295,0.247427066798951,0.673322936407128,0.112718348566096,0.0792499967939208,0.0176570257436501
2015,2,ND,Nordeste,55204481,13381583,37333355,6380848,4489543,996435,0.242400304424563,0.676273996670669,0.115585689502271,0.0813256989047683,0.0180498934497727
2016,2,ND,Nordeste,55483846,13185535,37667407,6579657,4630904,1027875,0.237646377289707,0.67888961770963,0.118586894643172,0.0834640050006627,0.0185256624063155
2017,2,ND,Nordeste,55729786,12989385,37963147,6786474,4777254,1063867,0.233077963012454,0.681200301038299,0.121774628741621,0.0857217359492462,0.0190897377571125
2018,2,ND,Nordeste,55987936,12832333,38225458,7004192,4930145,1102826,0.229198179407792,0.682744546968118,0.125101807646562,0.0880572736240893,0.019697564846827
2019,2,ND,Nordeste,56272587,12691267,38492152,7233983,5089168,1141427,0.225531962836541,0.684030254375901,0.128552522385367,0.0904377827875587,0.0202838906268873
2020,2,ND,Nordeste,56524887,12532961,38752272,7459032,5239654,1171861,0.221724653779494,0.685578937999469,0.131960139964543,0.0926964082210372,0.0207317707685112
2021,2,ND,Nordeste,56713897,12359662,38978029,7673443,5376206,1191873,0.217930042790041,0.687274743260898,0.135300929858514,0.0947952139490608,0.0210155369855822
2022,2,ND,Nordeste,56848401,12176832,39148515,7905831,5523054,1211532,0.214198320195497,0.6886476015394,0.139068660875791,0.0971540782651037,0.0213116284484413
2023,2,ND,Nordeste,56970423,11971200,39298855,8173561,5700368,1241559,0.210130088028309,0.689811536066706,0.143470252976707,0.100058375904985,0.0217930451385274
2024,2,ND,Nordeste,57112096,11769414,39440157,8467135,5902525,1283916,0.206075679659874,0.690574497563528,0.148254670954468,0.103349822776597,0.0224806317736964
2025,2,ND,Nordeste,57244485,11578750,39547519,8769374,6118216,1333232,0.202268393191065,0.690852909236584,0.15319159566201,0.106878697572351,0.0232901387793077
2026,2,ND,Nordeste,57366981,11383296,39636720,9074519,6346965,1388477,0.19842940663027,0.690932646429485,0.158183659690929,0.110637946940244,0.0242034176419359
2027,2,ND,Nordeste,57480567,11181772,39711931,9378607,6586864,1447716,0.194531344828244,0.690875770240749,0.163161351557301,0.114592884931006,0.0251861816185634
2028,2,ND,Nordeste,57586115,10987039,39764596,9680589,6834480,1509136,0.190793197283755,0.690524026494929,0.168106304792397,0.118682776221317,0.0262065951141174
2029,2,ND,Nordeste,57684426,10786158,39806050,9982126,7092218,1572425,0.186985617227083,0.690065807363672,0.173047158343918,0.122948575409245,0.027259090694601
2030,2,ND,Nordeste,57776130,10560994,39858286,10284680,7356850,1637824,0.182791647692568,0.689874624693623,0.178009153607208,0.127333727613809,0.0283477623025287
